abv,availability,ba_score,beer_name,beer_number,brewery_name,brewery_number,notes,pdev,ranking,ratings,reviews,style
9.80%, Rotating,3.75,Quadrophenia,204537,105 West Brewing Company,43052,No notes at this time.<br><br>Added by Parmesan on 12-11-2015<br>,0%,-,1,0,Quadrupel (Quad)
9.30%, Rotating,3.76,Tripel,303906,105 West Brewing Company,43052,No notes at this time.<br><br>Added by Franziskaner on 09-22-2017<br>,0%,-,1,1,Tripel
6.40%, Rotating,3.83,The Sheriff,317195,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 12-16-2017<br>,0%,-,1,0,American Black Ale
5.50%, Rotating,3.61,Altbier,251738,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 10-07-2016<br>,0%,-,1,0,Altbier
4.90%, Rotating,0,The Deputy Session IPA,343399,105 West Brewing Company,43052,No notes at this time.<br><br>Added by spoony on 05-06-2018<br>,0%,-,0,0,American IPA
6.50%, Rotating,4.01,Squirrel Nut Sipper,203464,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,3.49%,-,4,0,American Brown Ale
5.60%, Rotating,3.8,Session IPA,203462,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,0%,-,2,0,American IPA
5.50%, Rotating,3.45,Session Black IPA,253105,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 10-17-2016<br>,0%,-,2,0,American Black Ale
6.60%, Rotating,3.25,American Pale Ale,191047,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by Coorsy on 09-17-2015<br>,8%,-,4,1,American Pale Ale (APA)
5.20%, Rotating,3.97,Scottish Ale,224088,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 04-10-2016<br>,0%,-,2,1,Scottish Ale
8.00%, Limited (brewed once),0,2 Hops for Sister Sara,330326,101 North Brewing Company,31027,No notes at this time.<br><br>Added by rodbeermunch on 02-27-2018<br>,0%,-,0,0,American Double / Imperial IPA
5.90%, Rotating,2.95,Watermelon Wheat,191044,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by Coorsy on 09-17-2015<br>,0%,-,1,0,American Pale Wheat Ale
6.60%, Rotating,0,Summer Saison,191045,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by Coorsy on 09-17-2015<br>,0%,-,0,0,Saison / Farmhouse Ale
6.00%, Spring,3.73,(512) ALT,48619,(512) Brewing Company,17863,"(512) ALT is a German-style amber ale that is fermented cooler than typical ales and cold conditioned like a lager. ALT means “old” in German and refers to a beer style made using ale yeast after many German brewers had switched to newly discovered lager yeast. This ale has a very smooth, yet pronounced, hop bitterness with a malty backbone and a characteristic German yeast character. Made with 98% Organic 2-row and Munich malts and US noble hops.<br><br>Added by LittleDon on 03-21-2009<br>",11.53%,"#27,417",57,15,Altbier
12.00%, Limited (brewed once),0,Unsane,311878,101 North Brewing Company,31027,No notes at this time.<br><br>Added by westcoastbeerlvr on 11-11-2017<br>,0%,-,0,0,Belgian Strong Pale Ale
6.90%, Rotating,3.78,Stigmata Red Rye Ale,93908,101 North Brewing Company,31027,"An American amber ale rich in malt-forward flavors with a tinge of strawberry in the nose and tail. Our reincarnation of a classic American ale, gleaming ruby red - a color so red as to inspire the name - from the addition of delicately caramelized British rye malt.<br><br>Added by OBeerMeGreatOne on 05-20-2013<br>",20.63%,"#25,307",17,2,Rye Beer
7.20%, Rotating,3.91,Scotch Ale,334530,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by twosheds on 03-24-2018<br>,0%,-,1,1,Scottish Ale
4.50%, Year-round,3.48,7-Iron,167123,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 04-06-2015<br>,10.92%,"#38,813",29,3,American Blonde Ale
6.80%, Limited (brewed once),4.05,(512) NINE,317972,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Gagnonsux on 12-21-2017<br>,1.98%,-,4,1,Saison / Farmhouse Ale
, Rotating,4.43,(512) Juicy IPA,324562,(512) Brewing Company,17863,No notes at this time.<br><br>Added by kojevergas on 01-28-2018<br>,7%,-,3,0,American IPA
7.20%, Year-round,4.06,(512) IPA,43535,(512) Brewing Company,17863,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.<br><br>Added by wagenvolks on 07-04-2008<br>",10.84%,"#3,175",502,81,American IPA
10.10%, Rotating,3.94,(512) Imperial Stout,105809,(512) Brewing Company,17863,Formerly 2008-2013 Anniversary Imperial Stout<br><br>Added by kjkinsey on 11-19-2013<br>,11.68%,"#9,875",77,8,American Double / Imperial Stout
5.50%, Spring,3.83,We Be Pubbin',338482,11 Below Brewing,39953,No notes at this time.<br><br>Added by Gagnonsux on 04-14-2018<br>,0%,-,2,0,Oatmeal Stout
, Limited (brewed once),4.02,Trade Bait DDH W/Simcoe,301400,11 Below Brewing,39953,No notes at this time.<br><br>Added by Texasfan549 on 09-06-2017<br>,0%,-,1,0,American IPA
6.50%, Limited (brewed once),3.9,Trade Bait (Batch #2 - Mosaic and Amarillo),308844,11 Below Brewing,39953,No notes at this time.<br><br>Added by Gagnonsux on 10-25-2017<br>,0.77%,-,3,0,American IPA
5.20%, Limited (brewed once),3.27,SXSWit,333440,(512) Brewing Company,17863,Raspberry wit<br><br>Added by Jame515 on 03-17-2018<br>,0%,-,2,0,Witbier
, Rotating,3.41,Mosaic SMaSH,323900,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Dreynolds1808 on 01-26-2018<br>,2.93%,-,4,1,American IPA
5.60%, Rotating,3.58,Larry The IPA,310985,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Gagnonsux on 11-06-2017<br>,0%,-,2,0,American IPA
4.30%, Rotating,3.5,Casper The Friendly Gose - Pumpkin Gose,211578,10 Barrel Brewing Co.,16873,"This ancient German style tart wheat beer was given a little twist with the addition of 350 pounds of freshly roasted Casper Pumpkins, toasted coriander, salt and bay leaf.<br><br>Added by JohnGalt1 on 01-23-2016<br>",0%,-,1,1,Gose
9.10%, Rotating,3.73,Critical Mass,210423,10 Barrel Brewing Co.,16873,Big bold and chewy. This beer style was brewed for czars years ago. Now it’s brewed for you! Huge fruity esters and big roast character round out this pitch black imperial stout.<br><br>Added by JohnGalt1 on 01-17-2016<br>,0%,-,2,2,American Double / Imperial Stout
5.30%, Rotating,3.58,Cream Ale,114399,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,4.75%,-,4,2,Cream Ale
5.10%, Rotating,3.5,Cold Companion,335894,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,Milk / Sweet Stout
6.00%, Limited (brewed once),3.8,Code 24 Batch #4 Crisp Pine,283113,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Skrumpy on 05-23-2017<br>,7.37%,-,4,1,American Pale Ale (APA)
4.50%, Rotating,4,Dark Queen,335766,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,Euro Dark Lager
7.30%, Rotating,4.02,Dark Hyde,114400,10 Barrel Brewing Co.,16873,This beer was brewed for a very nice guys alter ego. Doesn't everybody have a dark side? I think we all do! Hoppy as hell and damn dark too! Not much roast character for what the color implies. Enjoy the dark side!,1%,-,3,2,American Black Ale
7.50%, Rotating,3.58,Cynical CDA (Beer No. 2),125530,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-18-2014<br>,17.32%,"#33,093",15,7,American Black Ale
5.00%, Rotating,3.96,Cucumber Crush,95837,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.37%,"#6,705",192,36,Berliner Weissbier
9.50%, Rotating,4.08,DUB Double India Pale Ale,86999,10 Barrel Brewing Co.,16873,"Kelso unloaded the hop cooler on this beer. It comes in at a little over 10.5 pounds of hops per barrel, and is off the IBU charts. This beer is NOT balanced, and was NOT intended to be, and will never be balanced. Seriously, if you don't like hops, this beer might possibly ruin your day.<br><br>Added by JohnGalt1 on 11-11-2012<br>",8.82%,"#4,436",102,32,American Double / Imperial IPA
5.80%, Year-round,4.07,DT10 Coffee Porter,96396,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Fatehunter on 07-10-2013<br>,9.83%,-,4,2,American Porter
5.00%, Rotating,3.73,Dry Hopped Pils,189845,10 Barrel Brewing Co.,16873,We brewed an all grain Pilsner and then dry hopped it with a bunch citra hops! Creating a light crisp lager with amazing hop flavor and aroma. You just found your new hoppy session beer.<br><br>Added by JohnGalt1 on 09-11-2015<br>,0%,-,2,2,German Pilsener
6.50%, Rotating,3.21,Double Stuff,335764,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,Milk / Sweet Stout
5.80%, Rotating,3.81,Flora,245739,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Elicoleman on 08-20-2016<br>,9.45%,-,4,0,Belgian Pale Ale
, Rotating,3.71,Fill Stone,239115,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 07-05-2016<br>,0%,-,1,1,Irish Red Ale
7.40%, Limited (brewed once),3.59,Femme de la Rouge,335895,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,American Wild Ale
9.00%, Rotating,3.92,Falconator,100924,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by John_M on 10-07-2013<br>,3.06%,-,3,1,American Double / Imperial Stout
6.00%, Fall,3.5,Hooligan Pumpkin Sour,335896,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,Pumpkin Ale
9.00%, Rotating,3.48,Gooseberry,235512,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by LXIXME on 06-13-2016<br>,0%,-,1,0,American Wild Ale
6.50%, Fall,3.73,Goodin' Hoppy Fresh Hop IPA,139384,10 Barrel Brewing Co.,16873,"A fresh hop masterpiece, composed by Shawn Kelso and special guest Gooding Hop Farms. Hours after being picked, the local fresh Chinook hops were being loaded into the 10 barrel hop back. Drink it like you stole it, cause this wont be here for long.<br><br>Added by JohnGalt1 on 10-02-2014<br>",0%,-,2,2,American IPA
7.00%, Rotating,3.82,Gold Cones,223055,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kylehay2004 on 04-04-2016<br>,0%,-,1,0,American IPA
4.50%, Rotating,4.09,Lemon Crush,166969,10 Barrel Brewing Co.,16873,"Think lemonade...now think beer. We took our berliner weisse base and added a ton of lemon peels to give it a soft, refreshing lemon sour that’s easy to crush.<br><br>Added by JohnGalt1 on 04-05-2015<br>",4.89%,-,6,1,Berliner Weissbier
7.20%, Rotating,4.22,Kenbev's Red,223052,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kylehay2004 on 04-04-2016<br>,0%,-,1,0,American Amber / Red Ale
5.00%, Rotating,3.75,Pino - Hybrid,216764,10 Barrel Brewing Co.,16873,Pino was designed to bring the worlds of beer and wine together to create a libation that entices the senses. It starts off as an easy drinking Helles with it's malty notes and spicy hop flavors. It finishes with the sweet but dry pinot gris grape flavor. Have the best of both worlds.<br><br>Added by JohnGalt1 on 02-25-2016<br>,0%,-,1,1,Fruit / Vegetable Beer
7.10%, Rotating,3.97,Knight Ryed'r Porter,138567,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 09-25-2014<br>,6.55%,-,4,2,American Porter
4.80%, Summer,3.38,Piña,230291,10 Barrel Brewing Co.,16873,Piña is a light easy drinking Summer Ale made with pineapple and passion fruit. The perfect beer to run away with on those warm Summer days.<br><br>Added by jason_nwx on 05-16-2016<br>,16.27%,"#42,662",60,20,Fruit / Vegetable Beer
4.90%, Summer,3.48,Kiwi Crush,245741,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Elicoleman on 08-20-2016<br>,6.03%,-,3,0,Fruit / Vegetable Beer
7.60%, Rotating,4.05,Pearl IPA,164238,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kscaldef on 03-22-2015<br>,6.42%,"#13,125",19,3,American IPA
16.60%, Limited (brewed once),4.31,Paxton Project - Port Barrel Quad,297953,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by beertunes on 08-20-2017<br>,0%,-,2,2,Quadrupel (Quad)
4.31%, Rotating,4,Pyka,257403,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kylehay2004 on 11-23-2016<br>,0%,-,1,0,American Wild Ale
5.20%, Rotating,3.48,Pura Vida,183557,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by MIrvine on 07-27-2015<br>,7.18%,-,5,1,Light Lager
6.10%, Fall,3.16,Punkin Brewster,197371,10 Barrel Brewing Co.,16873,"Harvest season is here and what's a harvest without pumpkins?! We once again went to Peaceful Belly Farms, picked up some fresh pumpkins, added spices and brewed a beer! its a gourdous ale fit for Ghouls and you!<br><br>Added by JohnGalt1 on 10-30-2015<br>",0%,-,1,1,Pumpkin Ale
4.70%, Rotating,3.54,Sasquatch 1.5,179587,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cherche on 06-28-2015<br>,11.02%,"#33,425",12,1,American IPA
5.40%, Rotating,3.56,Salute Your Schwartz,223051,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kylehay2004 on 04-04-2016<br>,0%,-,1,0,Schwarzbier
5.70%, Year-round,3.65,S1nist0r Black Ale,45496,10 Barrel Brewing Co.,16873,"We craft our S1NIST0R Black Ale using a special German dehusked black malt that is free of astringency, giving the beer a rich black color without the traditional dark beer characteristics. You will notice subtle hints of chocolate with an easy drinking balance on the back end.  In the glass the dark color may look intimidating to some, but don't let this beer fool you. Our unique combination of malts creates a very light body and smooth finish.",11.51%,"#35,767",230,74,Schwarzbier
7.50%, Rotating,4.43,S.A.M. IPA,135279,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Paccamacca on 08-29-2014<br>,6.55%,-,3,0,American IPA
6.50%, Rotating,4.03,Raspberry Crush,84174,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 08-09-2012<br>,10.42%,"#6,068",84,18,Berliner Weissbier
4.80%, Spring,3.63,Whispering IPA (Session IPA),123168,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-01-2014<br>,0%,-,1,1,American IPA
4.90%, Rotating,3.54,Warwick's Best Bitter,136322,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 09-06-2014<br>,0%,-,2,2,Extra Special / Strong Bitter (ESB)
5.30%, Rotating,3.96,Young Squeezy,189764,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Fargrow on 09-10-2015<br>,0%,-,1,0,American Wild Ale
4.30%, Limited (brewed once),3.72,Wilder,284567,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by chinchill on 06-02-2017<br>,0%,-,1,1,Belgian Pale Ale
5.20%, Rotating,4.01,White Sesh,223054,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kylehay2004 on 04-04-2016<br>,5.49%,-,4,1,American IPA
6.80%, Fall,3.75,Vernside,206656,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by sharpski on 12-21-2015<br>,0%,-,1,0,American IPA
9.00%, Rotating,3.78,Uberweiss Huckleberry,195308,10 Barrel Brewing Co.,16873,"We snagged some Pinot barrels from Lange Estate winery and within 24 hours we replaced their wine with our uber Berliner Weiss. It got tucked away in the brewery for a year to age and if that’s not enough, we also finished it off with huckleberries to make it pop.<br><br>Added by JohnGalt1 on 10-15-2015<br>",9.26%,-,3,1,American Wild Ale
5.00%, Rotating,3.68,Trail Beer Pale Ale,304698,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Rilesmiles on 09-27-2017<br>,13.32%,"#29,198",11,4,American Pale Ale (APA)
4.80%, Rotating,3.73,Trail Beer,287019,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by superspak on 06-17-2017<br>,6.7%,-,4,0,American IPA
6.10%, Fall,3.99,Tin Tuba Marzen,196442,10 Barrel Brewing Co.,16873,"A highly quaffable malty lager, German caramel malts give it flavor and noble hops give it great balance. We made this beer to be drank with friends. Order a round and strike up the band!<br><br>Added by JohnGalt1 on 10-22-2015<br>",0%,-,1,1,Märzen / Oktoberfest
5.60%, Rotating,3.13,Tied The Knot,189765,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Fargrow on 09-10-2015<br>,0%,-,1,0,Cream Ale
5.40%, Rotating,3.71,Throw Back Oatmeal Stout,93438,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by LXIXME on 05-09-2013<br>,7.82%,-,8,2,American Stout
5.80%, Rotating,3.85,T'ryed And True,96395,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Fatehunter on 07-10-2013<br>,12.47%,-,6,3,Rye Beer
4.50%, Summer,3.38,Swill Beer,93805,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 05-18-2013<br>,21.3%,"#43,753",124,27,Fruit / Vegetable Beer
4.50%, Summer,2.91,Swill American Radler,125693,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by mactrail on 06-20-2014<br>,26.12%,"#45,013",34,7,Fruit / Vegetable Beer
, Rotating,3.45,Summer Ale,59712,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by beertunes on 07-01-2010<br>,0%,-,1,1,American Blonde Ale
5.50%, Rotating,4.11,Strawberry Crush,169181,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 04-21-2015<br>,8.03%,-,8,1,Berliner Weissbier
8.50%, Rotating,3.71,Space Cadet - Belgian Rye With Peaches,198115,10 Barrel Brewing Co.,16873,This Belgian Rye was aged in Chardonnay barrels with copious amounts of Saturn peaches. One too many and you'll be out of this world.<br><br>Added by JohnGalt1 on 11-05-2015<br>,0%,-,1,1,Belgian Strong Pale Ale
7.70%, Rotating,3.95,Snake Joose,342025,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by DenverHopHead on 04-30-2018<br>,0%,-,1,0,American IPA
5.40%, Rotating,4,Sizzla,343689,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by StonedTrippin on 05-07-2018<br>,0%,-,1,1,Kölsch
6.50%, Rotating,4.19,Sister's Coffee Porter,235431,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by StonedTrippin on 06-13-2016<br>,0%,-,1,1,American Porter
8.80%, Limited (brewed once),3.7,Scale Breaker,308951,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by GClarkage on 10-25-2017<br>,13.51%,-,7,4,American Double / Imperial IPA
9.50%, Rotating,3.79,Ruffneck Peak DIPA,122317,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 05-25-2014<br>,0%,-,2,2,American Double / Imperial IPA
10.00%, Rotating,3.74,Russian Imperial Stout With Raspberry Sour,179592,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cherche on 06-29-2015<br>,9.89%,-,3,0,Russian Imperial Stout
7.20%, Year-round,4.06,(512) IPA,43535,(512) Brewing Company,17863,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.<br><br>Added by wagenvolks on 07-04-2008<br>",10.84%,"#3,175",503,81,American IPA
4.00%, Rotating,3.75,Pumpkin Crush,107479,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by sharpski on 12-07-2013<br>,0%,-,2,0,Berliner Weissbier
9.80%, Rotating,3.86,Rough Terrain,335771,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,American Strong Ale
6.30%, Rotating,3.85,Riding Solo Single Hop Pale Ale - Comet,211580,10 Barrel Brewing Co.,16873,60 IBU Single Hop pale ale made with Comet hops.<br><br>Added by JohnGalt1 on 01-23-2016<br>,7.27%,"#16,415",68,14,American Pale Ale (APA)
6.70%, Rotating,3.52,Puff Puff Pass - Smoked Porter,217086,10 Barrel Brewing Co.,16873,"A wonderfully rich, dark beer with nice smokey notes. Crafted with smoked German hardwood matl and balance with two different caramel malts. Why just have a porter when you can have a smoked porter?<br><br>Added by JohnGalt1 on 02-27-2016<br>",0%,-,2,1,American Porter
6.70%, Rotating,3.87,Project Failed Red Ale,110513,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 01-14-2014<br>,8.27%,"#15,898",53,13,American Amber / Red Ale
5.50%, Summer,3.43,Road 41 Kölsch,84605,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by N3rdM3t4l on 08-22-2012<br>,22.45%,-,6,4,Kölsch
6.50%, Rotating,3.38,Red Faucher,114403,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,13.61%,-,4,3,American Amber / Red Ale
5.00%, Rotating,3.39,Pub Beer,95838,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.98%,"#43,187",89,28,American Pale Lager
7.50%, Rotating,3.75,Power To The People Stout,99154,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Scotchboy on 09-09-2013<br>,12.27%,"#26,233",31,6,American Stout
4.50%, Year-round,3.48,7-Iron,167123,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 04-06-2015<br>,10.92%,"#38,813",29,3,American Blonde Ale
6.50%, Rotating,3.82,Poor Man's Mocha,197369,10 Barrel Brewing Co.,16873,"Inspired by the ""camping mocha"" of black coffee and Swiss Miss, we decided to load this rich stout up with caramel malts, 55 pounds of milk sugar and a special blend of coffee roasted by our friends at Sisters Coffee.<br><br>Added by JohnGalt1 on 10-30-2015<br>",6.02%,-,3,1,Milk / Sweet Stout
5.60%, Rotating,3.98,Passion Of The Wheat - Passion Fruit Hoppy Wheat Ale,216765,10 Barrel Brewing Co.,16873,"Passion fruit from South America, Galaxy hops from Australia, Amarillo hops, malted wheat and barley from North America combine to create this tart hoppy, yet refreshingly unique ale.<br><br>Added by JohnGalt1 on 02-25-2016<br>",0%,-,1,1,Fruit / Vegetable Beer
7.00%, Winter,3.63,Pray For Snow,64765,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cbarrett4 on 12-27-2010<br>,12.12%,"#37,292",252,53,American Strong Ale
6.50%, Rotating,3.6,Paramount Strong Ale,114402,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,11.39%,-,4,2,American Strong Ale
5.80%, Rotating,3.66,Pale Ale,135786,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by jhartley on 09-02-2014<br>,8.47%,"#31,086",22,3,American Pale Ale (APA)
9.50%, Rotating,4.08,DUB Double India Pale Ale,86999,10 Barrel Brewing Co.,16873,"Kelso unloaded the hop cooler on this beer. It comes in at a little over 10.5 pounds of hops per barrel, and is off the IBU charts. This beer is NOT balanced, and was NOT intended to be, and will never be balanced. Seriously, if you don't like hops, this beer might possibly ruin your day.<br><br>Added by JohnGalt1 on 11-11-2012<br>",8.82%,"#4,436",102,32,American Double / Imperial IPA
7.00%, Limited (brewed once),3.76,P2P,287987,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by chinchill on 06-23-2017<br>,0%,-,2,1,American Stout
5.00%, Rotating,3.96,Cucumber Crush,95837,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.37%,"#6,705",192,36,Berliner Weissbier
5.60%, Summer,3.79,Out Of Office Pils,288078,10 Barrel Brewing Co.,16873,All grain pilsner dry hopped with Citra hops. ,19%,"#24,348",21,6,German Pilsener
7.10%, Rotating,3.66,Oregon Brown Ale,73903,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by dgilks on 10-08-2011<br>,16.67%,"#32,208",37,12,American Brown Ale
6.50%, Rotating,3.97,OG Wheat India Pale Ale,93370,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by LiquidAmber on 05-08-2013<br>,12.34%,"#7,018",131,22,American IPA
6.90%, Rotating,3.71,Oatmeal Stout,114401,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,5.12%,-,3,1,Milk / Sweet Stout
